date_hour,temp_c_hr,temp_f_hr
7/22/2011 18:00:00,25.14,77.26
7/22/2011 19:00:00,24.64,76.35
7/22/2011 20:00:00,24.58,76.25
7/22/2011 21:00:00,24.43,75.97
7/22/2011 22:00:00,24.47,76.05
7/22/2011 23:00:00,24.36,75.84
7/23/2011 00:00:00,24.30,75.75
7/23/2011 01:00:00,23.77,74.78
7/23/2011 02:00:00,24.07,75.33
7/23/2011 03:00:00,24.19,75.55
7/23/2011 04:00:00,24.12,75.41
7/23/2011 05:00:00,23.95,75.11
7/23/2011 06:00:00,24.12,75.41
7/23/2011 07:00:00,24.51,76.13
7/23/2011 08:00:00,25.08,77.15
7/23/2011 09:00:00,25.57,78.02
7/23/2011 10:00:00,25.66,78.19
