date_hour,temp_c_hr,temp_f_hr,,
7/18/2011 08:00:00,25.07,77.13,null,null
7/18/2011 09:00:00,25.68,78.22,76.655,2
7/18/2011 10:00:00,26.08,78.94,77.1766666667,3
7/18/2011 11:00:00,26.33,79.39,77.6175,4
7/18/2011 12:00:00,26.79,80.22,77.972,5
7/18/2011 13:00:00,26.52,79.74,78.78,5
7/18/2011 14:00:00,26.63,79.94,79.302,5
7/18/2011 15:00:00,26.33,79.39,79.646,5
7/18/2011 16:00:00,26.06,78.91,79.736,5
7/18/2011 17:00:00,24.92,76.86,79.64,5
7/18/2011 18:00:00,24.88,76.79,78.968,5
7/18/2011 19:00:00,24.6,76.28,78.378,5
7/18/2011 20:00:00,24.65,76.37,77.646,5
7/18/2011 21:00:00,24.32,75.78,77.042,5
7/18/2011 22:00:00,24.16,75.49,76.416,5
7/18/2011 23:00:00,24.07,75.32,76.142,5
7/19/2011 00:00:00,24.03,75.25,75.848,5
7/19/2011 01:00:00,23.9,75.02,75.642,5
7/19/2011 02:00:00,24.1,75.39,75.372,5
7/19/2011 03:00:00,23.97,75.14,75.294,5
7/19/2011 04:00:00,23.97,75.14,75.224,5
7/19/2011 05:00:00,23.95,75.12,75.188,5
7/19/2011 06:00:00,23.91,75.03,75.162,5
7/19/2011 07:00:00,24.64,76.35,75.164,5
7/19/2011 08:00:00,25.15,77.27,75.356,5
7/19/2011 09:00:00,25.78,78.41,75.782,5
7/19/2011 10:00:00,26.13,79.04,76.436,5
7/19/2011 11:00:00,26.49,79.69,77.22,5
7/19/2011 12:00:00,26.43,79.58,78.152,5
7/19/2011 13:00:00,26.57,79.82,78.798,5
7/19/2011 14:00:00,26.24,79.24,79.308,5
7/19/2011 15:00:00,25.93,78.68,79.474,5
7/19/2011 16:00:00,25.88,78.59,79.402,5
7/19/2011 17:00:00,25.26,77.47,79.182,5
7/19/2011 18:00:00,24.96,76.92,78.76,5
7/19/2011 19:00:00,24.68,76.42,78.18,5
7/19/2011 20:00:00,24.65,76.38,77.616,5
7/19/2011 21:00:00,24.58,76.25,77.156,5
7/19/2011 22:00:00,24.35,75.82,76.688,5
7/19/2011 23:00:00,24.32,75.78,76.358,5
7/20/2011 00:00:00,24.33,75.8,76.13,5
7/20/2011 01:00:00,24.39,75.91,76.006,5
7/20/2011 02:00:00,24.32,75.77,75.912,5
7/20/2011 03:00:00,22.79,73.03,75.816,5
7/20/2011 04:00:00,22.96,73.32,75.258,5
7/20/2011 05:00:00,22.17,71.9,74.766,5
7/20/2011 06:00:00,21.65,70.96,73.986,5
7/20/2011 07:00:00,22.09,71.77,72.996,5
7/20/2011 08:00:00,23,73.41,72.196,5
7/20/2011 09:00:00,24.23,75.61,72.272,5
7/20/2011 10:00:00,25,77.01,72.73,5
7/20/2011 11:00:00,25.54,77.97,73.752,5
7/20/2011 12:00:00,25.79,78.42,75.154,5
7/20/2011 13:00:00,26.17,79.11,76.484,5
7/20/2011 14:00:00,26.18,79.13,77.624,5
7/20/2011 15:00:00,26.29,79.33,78.328,5
7/20/2011 16:00:00,25.86,78.55,78.792,5
7/20/2011 17:00:00,25.5,77.9,78.908,5
7/20/2011 18:00:00,24.88,76.79,78.804,5
7/20/2011 19:00:00,24.61,76.29,78.34,5
7/20/2011 20:00:00,,,77.772,5
7/20/2011 21:00:00,,,77.3825,4
7/20/2011 22:00:00,,,76.9933333333,3
7/20/2011 23:00:00,,,76.54,2
7/21/2011 00:00:00,,,null,null
7/21/2011 01:00:00,24.33,75.79,null,null
7/21/2011 02:00:00,24.4,75.92,null,null
7/21/2011 03:00:00,24.3,75.73,75.855,2
7/21/2011 04:00:00,24.27,75.68,75.8133333333,3
7/21/2011 05:00:00,24.12,75.41,75.78,4
7/21/2011 06:00:00,24.38,75.88,75.706,5
7/21/2011 07:00:00,24.7,76.45,75.724,5
7/21/2011 08:00:00,25.16,77.29,75.83,5
7/21/2011 09:00:00,25.73,78.31,76.142,5
7/21/2011 10:00:00,25.72,78.3,76.668,5
7/21/2011 11:00:00,25.59,78.07,77.246,5
7/21/2011 12:00:00,25.73,78.32,77.684,5
7/21/2011 13:00:00,25.02,77.03,78.058,5
7/21/2011 14:00:00,25.13,77.23,78.006,5
7/21/2011 15:00:00,24.43,75.97,77.79,5
7/21/2011 16:00:00,24.32,75.78,77.324,5
7/21/2011 17:00:00,23.82,74.88,76.866,5
7/21/2011 18:00:00,23.73,74.71,76.178,5
7/21/2011 19:00:00,24.07,75.32,75.714,5
7/21/2011 20:00:00,23.37,74.07,75.332,5
7/21/2011 21:00:00,23.26,73.87,74.952,5
7/21/2011 22:00:00,23.65,74.58,74.57,5
7/21/2011 23:00:00,23.98,75.16,74.51,5
7/22/2011 00:00:00,23.82,74.88,74.6,5
7/22/2011 01:00:00,23.96,75.13,74.512,5
7/22/2011 02:00:00,23.72,74.7,74.724,5
7/22/2011 03:00:00,24.01,75.22,74.89,5
7/22/2011 04:00:00,24.06,75.31,75.018,5
7/22/2011 05:00:00,24.03,75.26,75.048,5
7/22/2011 06:00:00,23.98,75.16,75.124,5
7/22/2011 07:00:00,23.54,74.38,75.13,5
7/22/2011 08:00:00,23.47,74.25,75.066,5
7/22/2011 09:00:00,24.86,76.75,74.872,5
7/22/2011 10:00:00,25.66,78.19,75.16,5
7/22/2011 11:00:00,26.01,78.81,75.746,5
7/22/2011 12:00:00,25.95,78.71,76.476,5
7/22/2011 13:00:00,26.43,79.57,77.342,5
7/22/2011 14:00:00,25.4,77.72,78.406,5
7/22/2011 15:00:00,25.7,78.25,78.6,5
7/22/2011 16:00:00,25.47,77.85,78.612,5
7/22/2011 17:00:00,25.55,77.99,78.42,5
7/22/2011 18:00:00,25.14,77.26,78.276,5
7/22/2011 19:00:00,24.64,76.35,77.814,5
7/22/2011 20:00:00,24.58,76.25,77.54,5
7/22/2011 21:00:00,24.43,75.97,77.14,5
7/22/2011 22:00:00,24.47,76.05,76.764,5
7/22/2011 23:00:00,24.36,75.84,76.376,5
7/23/2011 00:00:00,24.3,75.75,76.092,5
7/23/2011 01:00:00,23.77,74.78,75.972,5
7/23/2011 02:00:00,24.07,75.33,75.678,5
7/23/2011 03:00:00,24.19,75.55,75.55,5
7/23/2011 04:00:00,24.12,75.41,75.45,5
7/23/2011 05:00:00,23.95,75.11,75.364,5
7/23/2011 06:00:00,24.12,75.41,75.236,5
7/23/2011 07:00:00,24.51,76.13,75.362,5
7/23/2011 08:00:00,25.08,77.15,75.522,5
7/23/2011 09:00:00,25.57,78.02,75.842,5
7/23/2011 10:00:00,25.66,78.19,76.364,5
